regierungsbezirk-id,partei-id,partei-name,Nr.,Name,SZ.- Rf.1),PL.- Nr.2),G3),Gesamtstimmen,darunter Zweitstimmen,101  München-Hadern,102  München-Bogenhausen,103  München-Giesing,104  München-Milbertshofen,105  München-Moosach,106  München-Pasing,107  München-Ramersdorf,108  München-Schwabing,109  München-Mitte,110  Altötting,"111  Bad Tölz-Wolfratshausen, Garmisch-Partenkirchen",112  Berchtesgadener Land,113  Dachau,114  Ebersberg,115  Eichstätt,116  Erding,117  Freising,118  Fürstenfeldbruck-Ost,119  Ingolstadt,"120  Landsberg am Lech, Fürstenfeldbruck-West",121  Miesbach,122  Mühldorf a.Inn,123  München-Land-Nord,124  München-Land-Süd,125  Neuburg-Schrobenhausen,126  Pfaffenhofen a.d.Ilm,127  Rosenheim-Ost,128  Rosenheim-West,129  Starnberg,130  Traunstein,131  Weilheim-Schongau
901,6,Die Linke,39,"Auchter, Julia",27,39,,699,699,18,19,31,23,19,22,11,32,32,13,23,14,15,23,10,16,73,24,9,17,17,11,84,16,5,9,21,21,19,24,28
901,6,Die Linke,40,"Brunnemann, Eva-Maria",33,40,,597,597,38,23,54,43,25,24,21,14,36,11,22,9,19,22,8,12,17,20,22,12,6,13,21,19,7,11,18,13,6,14,17
901,6,Die Linke,41,"Kroll, Uwe",60,41,,573,573,19,12,26,11,15,4,12,16,16,12,12,5,19,16,5,15,132,14,10,9,10,11,12,13,20,65,12,10,12,16,12
901,6,Die Linke,42,"Mayer, Marina",38,42,,520,520,29,15,34,41,22,21,13,22,41,7,10,9,18,18,6,15,20,18,19,13,10,9,11,17,8,2,15,13,16,13,15
901,6,Die Linke,43,"Hertel-Stockinger, Herta",35,43,,484,484,13,15,10,12,12,11,12,8,11,9,6,3,8,22,9,167,25,13,11,4,12,17,14,3,2,5,10,15,4,7,14
901,6,Die Linke,44,"Padovan, Elfi",25,44,,406,406,21,10,52,39,13,18,7,17,35,5,6,4,10,11,6,12,15,26,8,8,4,4,9,7,2,4,9,9,11,7,17
901,6,Die Linke,45,"Tepperies, Jan",54,45,,384,384,19,14,29,25,17,11,18,16,36,4,8,9,5,15,3,7,13,18,8,8,7,8,22,8,4,4,9,9,9,14,7
901,6,Die Linke,46,"Popig, Laura-Christin",15,46,,380,380,11,4,14,17,5,10,5,9,11,2,9,1,8,6,3,20,163,5,5,9,4,7,11,3,7,3,6,3,6,6,7
901,6,Die Linke,47,"Utz, Erich",58,47,,372,372,26,17,24,20,15,20,18,16,29,8,9,6,9,6,1,4,18,17,9,16,6,6,7,5,4,4,13,10,11,9,9
901,6,Die Linke,48,"Pertl, Manuela",40,48,,356,356,5,8,4,6,2,1,1,4,3,9,7,24,1,6,1,3,8,1,3,4,10,1,6,5,1,1,30,17,4,170,10
901,6,Die Linke,49,"Wilde, Corinna",39,49,,349,349,5,7,17,16,1,8,6,3,8,2,11,1,11,141,1,14,6,4,5,9,7,7,2,3,3,3,10,26,2,5,5
